Time	Open	High	Low	Close	Volume
2010-03-24 00:00:00	1.05705	1.0738	1.05575	1.0719	497580	22
2010-03-25 00:00:00	1.0719	1.07505	1.0672	1.0717	465074	21
2010-03-26 00:00:00	1.07175	1.0727	1.0635	1.065	412979	23
2010-03-28 00:00:00	1.05865	1.0645	1.05815	1.06405	12138	55
2010-03-29 00:00:00	1.06405	1.06905	1.0592	1.06185	467455	17
2010-03-30 00:00:00	1.0619	1.068	1.05865	1.06515	463283	26
2010-03-31 00:00:00	1.06515	1.06835	1.04885	1.05215	438686	18
2010-04-01 00:00:00	1.0521	1.0611	1.04345	1.0542	381097	19
2010-04-02 00:00:00	1.0542	1.06435	1.0541	1.0605	150597	16
2010-04-04 00:00:00	1.06115	1.06195	1.06052	1.06165	8915	17
2010-04-05 00:00:00	1.06165	1.06435	1.05832	1.06345	174076	18
2010-04-06 00:00:00	1.06345	1.07215	1.0633	1.06995	470313	20
2010-04-07 00:00:00	1.06995	1.07495	1.0686	1.0746	398253	19
2010-04-08 00:00:00	1.0746	1.07855	1.0713	1.0718	359963	20
2010-04-09 00:00:00	1.07185	1.07625	1.06545	1.0655	373676	20
2010-04-11 00:00:00	1.0527	1.0598	1.0522	1.05735	31670	137
2010-04-12 00:00:00	1.05735	1.06165	1.055	1.05975	475414	20
2010-04-13 00:00:00	1.05975	1.06025	1.05335	1.0541	481703	18
2010-04-14 00:00:00	1.0541	1.05605	1.05015	1.05125	473263	17
2010-04-15 00:00:00	1.05125	1.06115	1.05065	1.05675	457433	19
2010-04-16 00:00:00	1.05675	1.06335	1.05665	1.06125	392898	19
2010-04-18 00:00:00	1.06315	1.06365	1.0614	1.0636	14226	70
2010-04-19 00:00:00	1.0636	1.069	1.06215	1.0631	421807	19
2010-04-20 00:00:00	1.0631	1.0695	1.0602	1.069	443274	20
2010-04-21 00:00:00	1.069	1.07245	1.06585	1.07015	458879	18
2010-04-22 00:00:00	1.07015	1.0849	1.06735	1.08325	505590	19
2010-04-23 00:00:00	1.08325	1.085	1.07145	1.07205	476488	19
2010-04-25 00:00:00	1.07478	1.0754	1.0723	1.07385	11393	38
2010-04-26 00:00:00	1.07385	1.0787	1.06985	1.0716	415800	17
2010-04-27 00:00:00	1.0716	1.0899	1.0716	1.0872	598560	17
2010-04-28 00:00:00	1.0872	1.0924	1.0814	1.08635	583278	20
2010-04-29 00:00:00	1.08635	1.08685	1.08055	1.08235	518300	22
2010-04-30 00:00:00	1.08235	1.08455	1.07465	1.07745	413683	19
2010-05-02 00:00:00	1.07275	1.077	1.0724	1.0768	11520	129
2010-05-03 00:00:00	1.0768	1.0889	1.0768	1.0855	401198	22
2010-05-04 00:00:00	1.0855	1.10505	1.08389	1.10375	534203	17
2010-05-05 00:00:00	1.10375	1.11995	1.1022	1.1178	539505	19
2010-05-06 00:00:00	1.1178	1.1246	1.1017	1.1133	515897	18
2010-05-07 00:00:00	1.11335	1.1176	1.1048	1.10775	373448	31
2010-05-09 00:00:00	1.09905	1.10615	1.09875	1.10395	19650	307
2010-05-10 00:00:00	1.1042	1.1125	1.09215	1.1111	529848	24
2010-05-11 00:00:00	1.1109	1.1133	1.10355	1.11115	559917	15
2010-05-12 00:00:00	1.11115	1.11385	1.10595	1.10935	434455	18
2010-05-13 00:00:00	1.10935	1.11925	1.10765	1.1177	450232	22
2010-05-14 00:00:00	1.11775	1.1336	1.11505	1.13345	543911	21
2010-05-16 00:00:00	1.1342	1.1346	1.13185	1.1331	10411	88
2010-05-17 00:00:00	1.1331	1.1445	1.12975	1.1326	356216	28
2010-05-18 00:00:00	1.1326	1.1532	1.1267	1.15305	508709	14
2010-05-19 00:00:00	1.15305	1.15855	1.1418	1.15235	507710	20
2010-05-20 00:00:00	1.15245	1.1574	1.1452	1.1488	498256	26
2010-05-21 00:00:00	1.14885	1.15805	1.14495	1.1493	320695	31
2010-05-23 00:00:00	1.15035	1.15175	1.14885	1.1511	15900	56
2010-05-24 00:00:00	1.1511	1.16185	1.14925	1.1603	545085	25
2010-05-25 00:00:00	1.1602	1.1695	1.15145	1.15745	604100	22
2010-05-26 00:00:00	1.1574	1.16235	1.15145	1.15875	494933	23
2010-05-27 00:00:00	1.1587	1.1655	1.1485	1.15225	578882	20
2010-05-28 00:00:00	1.15235	1.15955	1.1481	1.15895	398753	23
2010-05-30 00:00:00	1.15795	1.15905	1.15675	1.1574	14869	215
2010-05-31 00:00:00	1.1574	1.1583	1.15315	1.1558	313959	34
2010-06-01 00:00:00	1.15585	1.17305	1.1469	1.15475	486121	16
2010-06-02 00:00:00	1.15475	1.16025	1.1527	1.15475	403730	23
2010-06-03 00:00:00	1.15485	1.1573	1.1496	1.1547	433224	17
